Name,Kitchens,Delivery cost (PLN),Min order cost (PLN)
Kebsa Raz,"Gyros, Falafel, Kebab",5.0,20.0
CURRY Express,"Curry, Indyjska",7.0,35.0
Nocna Wyżerka,"Włoska, Makarony, Pizza",7.9,35.0
Thai Fun,"Tajska, Curry",11.0,40.0
Pizza po Zmroku,"Włoska, Makarony, Pizza",5.0,30.0
La Tomatina,"Włoska, Makarony",5.0,50.0
Sushi Box,"Sushi, Japońska, Zupy",0.0,50.0
Restauracja Katmandu,"Tajska, Wegetariańska, Indyjska",0.0,40.0
Da Grasso,"Włoska, Makarony, Pizza",5.0,23.0
Grande Pierogi,"Polska, Pierogi, Zupy",0.0,25.0
Pizza Przy Politechnice,"Włoska, Makarony, Pizza",5.0,30.0
Złoty Ryż,"Chińska, Tajska, Dania na lunch",10.0,35.0
Amrit Oriental Food,"Turecka, Kebab",1.0,21.0
Restauracja Indyjska Injachi,"Zupy, Owoce morza, Indyjska",0.0,40.0
Lider Kebab Marszałkowska,"Turecka, Sałatki, Kebab",3.0,20.0
Hagiel Bistro II,"Polska, Dania na lunch, Pierogi",5.0,100.0
India Express by Mandala Centrum,"Tajska, Zupy, Indyjska",5.0,30.0
India Express by Mandala Mokotów,"Tajska, Zupy",10.0,30.0
Pekin Duck,"Chińska, Kaczka, Drób",16.0,50.0
Kuchnia Orientalna Smaki Wschodu,"Chińska, Tajska, Wietnamska",8.0,30.0
Besuto Sushi Bar,"Sushi, Japońska, Dania na lunch",0.0,50.0
Sapko Kebab,"Turecka, Dania na lunch, Sałatki",0.0,30.0
Subway,"Włoska, Wrapy, Sałatki",0.0,50.0
Toro Sushi,"Sushi, Tajska, Japońska",0.0,30.0
Rasoi Restauracja Indyjska,"Zupy, Sałatki, Indyjska",1.0,35.0
Burgery Nocą,"Burgery, Amerykańska",0.0,30.0
La Bufala,Włoska,5.0,22.0
Kebab King,"Turecka, Dania na lunch, Kebab",3.3,20.0
Sedo Kebab,"Turecka, Sałatki, Kebab",0.0,20.0
Bella Napoli Kolejowa,"Włoska, Makarony, Pizza",0.0,40.0
Masala Magic,"Tajska, Zupy, Indyjska",10.0,50.0
Kebab Faraon Rondo Waszyngtona,"Przekąski, Arabska, Kebab",5.0,25.0
Kwadrans Cafe,"Dania na lunch, Pierogi, Burgery",12.99,35.0
The Indian Hut restauracja indyjska,"Curry, Indyjska",5.0,39.0
ToTu Chińska Pierogarnia Saska Kępa,"Chińska, Pierogi, Zupy",5.0,40.0
Sen Viet,"Chińska, Tajska, Wietnamska",5.0,35.0
Pan Szama,"Polska, Wrapy",12.0,40.0
Makaroni,"Włoska, Makarony, Pizza",6.0,39.0
Red-Sun Sushi,"Sushi, Japońska, Owoce morza",0.0,60.0
Koku Sushi,"Sushi, Japońska, Przekąski",0.0,40.0
Vega,"Wegetariańska, Dania na lunch",16.0,23.0
Kemal Kebab,"Turecka, Kanapki, Kebab",0.0,30.0
Hagiel Bistro Nocą,"Kanapki, Polska, Pierogi",5.0,50.0
Bistro Bordo,"Włoska, Makarony, Pizza",0.0,45.0
Bałkan Grill Najlepsza Kuchnia Serbska,"Burgery, Sałatki, Kebab",10.0,30.0
Pepperoni Ristorante Pizzeria Noc,"Włoska, Pizza",10.0,25.0
Villa Sushi & Thai,"Sushi, Japońska",0.0,150.0
I Love Sushi,"Sushi, Japońska",4.0,75.0
Spring Roll,"Tajska, Wietnamska, Dania na lunch",13.0,50.0
Kwitnąca Wiśnia,"Sushi, Japońska, Zupy",0.0,50.0
Khuk by Little Thai Gallery,"Tajska, Owoce morza",13.0,50.0
Chwast Food,"Wegetariańska, Burgery",11.0,33.0
Mizumi Sushi,"Sushi, Japońska",0.0,80.0
Vietnamese Restaurant Four Seasons,"Wietnamska, Dania na lunch, Drób",0.0,50.0
Kik Fit Bar,"Burgery, Makarony, Wrapy",5.0,45.0
S'poco Loco,"Meksykańska, Wrapy",5.0,30.0
Batumi Na Ursynowie,"Dania na lunch, Pizza, Gruzińska",0.0,105.0
Emir Kebab,"Turecka, Kebab",0.0,30.0
Leonardo Verde,"Włoska, Makarony, Pizza",0.0,30.0
ToTu Chińska Pierogarnia Słowackiego,"Chińska, Pierogi, Zupy",8.0,60.0
Pizza Na Wypasie Nocą,"Włoska, Dania na lunch, Pizza",16.0,1.0
Pizza Dominium,Włoska,0.0,31.0
India King. Restauracja Indyjska,Indyjska,0.0,60.0
OM Restauracja,Indyjska,10.0,75.0
Sushi Bar,"Sushi, Japońska",0.0,47.0
Sushiberry,"Sushi, Japońska, Dania na lunch",0.0,100.0
OM Sienna,"Tajska, Indyjska",0.0,35.0
Bong Bong Asian Bistro,"Chińska, Tajska, Wietnamska",0.0,24.0
Vintuna Kuchnia Tajska,"Tajska, Zupy, Owoce morza",35.0,90.0
Bydło i Powidło,"Kanapki, Burgery, Amerykańska",16.0,50.0
"Król Ziemniak - Ziemniaki, pierogi, makarony","Polska, Pierogi, Makarony",10.0,1.0
Ichiban Sushi Reduta,"Sushi, Japońska, Dania na lunch",0.0,80.0
City Pizza Nocną Porą,"Włoska, Makarony, Pizza",8.0,30.0
Pizzeria Boscaiola,"Włoska, Pizza, Sałatki",13.0,50.0
Big Adriano Deep Dish Pizza & Grill,"Burgery, Amerykańska, Pizza",6.99,49.0
Sen o sushi,"Sushi, Japońska",0.0,90.0
Nanaki Sushi,"Sushi, Japońska, Owoce morza",0.0,99.0
Wok Sushi,"Chińska, Sushi, Owoce morza",10.0,40.0
Hikari Koi Sushi,"Sushi, Japońska, Dania na lunch",8.0,60.0
Viaduct Pizza Bar,"Włoska, Pizza",5.0,20.0
Łuski i Ości,"Sushi, Japońska",3.0,50.0
Thai Me Up,"Tajska, Owoce morza",13.0,50.0
Azjatyckie pierożki na parze Parowóz,"Polska, Zupy, Sałatki",0.0,40.0
Fresh&Roll,"Sushi, Japońska",0.0,40.0
Wana Sushi,"Sushi, Japońska",0.0,40.0
Curry House,"Zupy, Sałatki, Indyjska",22.0,50.0
Vege Bistro,"Wegetariańska, Wegańska, Polska",20.0,30.0
Manty Restauracja Uzbecka,"Dania na lunch, Zupy, Sałatki",0.0,25.0
Chmielarnia Centrum,"Włoska, Ryby, Międzynarodowa",5.0,40.0
Mojo Picon,"Hiszpańska/Tapas, Sałatki, Owoce morza",18.0,50.0
Bobby Burger,"Burgery, Amerykańska, Wrapy",0.0,39.0
Tokyo Sushi,"Sushi, Japońska, Owoce morza",0.0,100.0
Georgia Restauracja Gruzińska,"Dania na lunch, Sałatki, Gruzińska",0.0,50.0
Bin Bin Chińskie Pierogi,"Chińska, Pierogi",6.0,25.0
Curry Leaf Kuchnia Indyjska,"Zupy, Sałatki, Indyjska",20.0,50.0
Falafelove,"Wegetariańska, Dania na lunch, Sałatki",0.0,30.0
Warung Jakarta,"Tajska, Dania na lunch, Owoce morza",0.0,30.0
Falafelove,"Wegetariańska, Wegańska, Falafel",0.0,30.0
Restauracja Gruzja,"Dania na lunch, Zupy, Gruzińska",0.0,30.0
Italiano Vero,"Włoska, Pizza",10.0,20.0
Falafel Bejrut,"Kanapki, Wegańska, Arabska",0.0,30.0
Warszawa Powiśle,"Polska, Dania na lunch, Sałatki",0.0,30.0
Susharnia,"Sushi, Japońska, Zupy",0.0,50.0
Torotoro Sushi,"Sushi, Japońska, Owoce morza",9.0,20.0
Hand&Roll Tsuru Sushi,"Sushi, Japońska, Owoce morza",0.0,80.0
Restauracja Włoska Witaly,"Włoska, Pizza, Sałatki",0.0,30.0
Restauracja Pod Karpiem,"Polska, Dania na lunch",0.0,65.0
Czyli Żurawia 45,"Włoska, Makarony, Pizza",0.0,30.0
Asian Palace Kuchnia Pakistańska i Indyjska,"Kanapki, Zupy, Indyjska",0.0,40.0
Amai Sushi,"Sushi, Japońska",0.0,150.0
Welcome India,Indyjska,5.0,50.0
Prima Pizza,"Włoska, Makarony, Pizza",4.0,23.0
Prima Pizza Noc,"Włoska, Makarony, Pizza",9.0,30.0
Vegan Pizza,"Wegetariańska, Wegańska, Pizza",8.0,25.0
Sushi World,"Sushi, Japońska, Międzynarodowa",10.0,50.0
Jadłoteka,"Polska, Pierogi, Burgery",19.0,20.0
Tulsi,Indyjska,0.0,70.0
Klukovka,"Dania na lunch, Pierogi, Zupy",20.0,50.0
Madras,Indyjska,5.0,50.0
Doppio Cuore,"Włoska, Makarony, Pizza",0.0,30.0
Esencja,"Polska, Dania na lunch, Zupy",5.0,20.0
Khuk Thai Food,"Tajska, Dania na lunch, Owoce morza",0.0,30.0
Pizzeria Złota 65,Włoska,0.0,1.0
Ceprownia Restauracja,"Polska, Dania na lunch, Przekąski",0.0,30.0
Restauracja Drugie Dno,"Burgery, Przekąski, Amerykańska",0.0,30.0
Za'atar,"Dania na lunch, Falafel",0.0,30.0
Juice Press People,"Kanapki, Przekąski",0.0,30.0
Mumbai Masala,Indyjska,5.0,49.0
Hoppiness Beer'N'Food,"Burgery, Amerykańska, Wołowina",0.0,30.0
Maharaja Thai,"Tajska, Curry, Indyjska",13.0,50.0
Bar Don Caruso,"Włoska, Makarony, Pizza",0.0,30.0
Piatto Italiano,"Włoska, Makarony, Pizza",3.0,30.0
Casablanca,"Międzynarodowa, Arabska, Falafel",16.0,50.0
Dekant WineBar & Restaurant,"Polska, Dania na lunch",10.0,50.0
Croque Madame,"Francuska, Dania na lunch, Naleśniki",0.0,30.0
Cafe & Bar Kafka,"Polska, Dania na lunch, Sałatki",0.0,30.0
Erywań,"Dania na lunch, Pierogi, Międzynarodowa",0.0,30.0
Zorza,"Wegetariańska, Kanapki, Dania na lunch",0.0,30.0
Sushi Studio,"Sushi, Japońska",0.0,80.0
Sardynia,"Włoska, Makarony, Pizza",0.0,30.0
77 Sushi,"Sushi, Japońska",9.9,50.0
Tele Sajgon,"Chińska, Wietnamska, Japońska",4.0,30.0
Planet Sushi Złota,"Sushi, Japońska, Desery",0.0,30.0
L'arc,"Francuska, Ryby, Zupy",16.0,50.0
